Operator;Frequency
fromPromise;28
map;19
flatMap;16
onValue;15
fromPoll;15
take;7
interval;6
log;5
flatMapLatest;5
sequentially;4
repeat;4
retry;4
mergeAll;4
bufferingThrottle;3
subscribe;3
takeUntil;3
later;3
flatMapConcat;2
once;2
onError;2
flatMapError;2
makeRequest;2
slidingWindow;2
doAction;2
delay;1
fromArray;1
skipWhile;1
onEnd;1
bufferWithCount;1
filter;1
