Operator;Frequency
fromPromise;6
retry;4
flatMap;3
onError;2
map;2
sequentially;2
flatMapError;2
log;2
repeat;2
makeRequest;2
flatMapConcat;1
onValue;1
flatMapLatest;1
take;1
interval;1
bufferingThrottle;1
once;1
